id,title,image,prompt,category,tags,tools
1,ビジネスメール作成（謝罪）,,"【AIへの役割】
あなたはビジネスコミュニケーションのプロフェッショナルです。

【目的・背景】
[例: 納期遅延について取引先に謝罪する]

【ターゲット】
[例: 長年の取引先の担当者]

【トーン・雰囲気】
誠実で丁寧、かつプロフェッショナル

【期待するアウトプット】
・件名
・本文（挨拶、謝罪、原因説明、対策、締め）
・署名",文章生成,"メール文面,ビジネス,謝罪",ChatGPT|https://chat.openai.com/;Claude|https://claude.ai/;Gemini|https://gemini.google.com/
2,ビジネスメール作成（依頼）,,"【AIへの役割】
あなたはビジネスメールの専門家です。

【目的・背景】
[例: 新規プロジェクトへの協力を依頼する]

【ターゲット】
[例: 他部署のマネージャー]

【トーン・雰囲気】
丁寧かつ説得力のある

【期待するアウトプット】
・件名
・本文（背景説明、依頼内容、メリット提示、締め切り）",文章生成,"メール文面,ビジネス,依頼",ChatGPT|https://chat.openai.com/;Claude|https://claude.ai/;Gemini|https://gemini.google.com/
3,お礼メール作成,,"【AIへの役割】
あなたは心のこもったコミュニケーションの専門家です。

【目的・背景】
[例: 面接後のお礼を伝える]

【ターゲット】
[例: 採用担当者]

【トーン・雰囲気】
温かみがあり、誠実

【期待するアウトプット】
・件名
・本文（感謝、印象に残った点、意欲表明）",文章生成,"メール文面,お礼",ChatGPT|https://chat.openai.com/;Claude|https://claude.ai/;Gemini|https://gemini.google.com/
4,業務マニュアル作成,,"【AIへの役割】
あなたは業務プロセス設計の専門家です。

【目的・背景】
[例: 新入社員向けの経費精算手順書を作成する]

【ターゲット】
[例: 入社1ヶ月目の新入社員]

【トーン・雰囲気】
分かりやすく、ステップバイステップ

【期待するアウトプット】
・目次
・各ステップの詳細手順（スクリーンショット挿入箇所の指示含む）
・よくある質問（FAQ）
・注意点",文章生成,"マニュアル作成,業務,手順書",ChatGPT|https://chat.openai.com/;Claude|https://claude.ai/;Gemini|https://gemini.google.com/
5,製品操作マニュアル,,"【AIへの役割】
あなたはテクニカルライターです。

【目的・背景】
[例: 家電製品の初期設定ガイドを作成する]

【ターゲット】
[例: テクノロジーに詳しくない高齢者]

【トーン・雰囲気】
簡潔で親切、専門用語を避ける

【期待するアウトプット】
・箱を開けてから使えるまでの手順
・図解の挿入箇所指示
・トラブルシューティング",文章生成,"マニュアル作成,製品,ガイド",ChatGPT|https://chat.openai.com/;Claude|https://claude.ai/;Gemini|https://gemini.google.com/
6,プレゼン資料構成案,,"【AIへの役割】
あなたはプレゼンテーションデザインの専門家です。

【目的・背景】
[例: 新規事業の提案を役員会で発表する]

【ターゲット】
[例: 経営層（意思決定者）]

【トーン・雰囲気】
論理的、説得力があり、データドリブン

【期待するアウトプット】
・スライド構成（10枚程度）
・各スライドの見出しとキーメッセージ
・ビジュアル候補の提案",文章生成,"資料作成,プレゼン,提案",ChatGPT|https://chat.openai.com/;Claude|https://claude.ai/;Gemini|https://gemini.google.com/
7,企画書テンプレート,,"【AIへの役割】
あなたは企画立案のプロフェッショナルです。

【目的・背景】
[例: 社内イベントの企画を上司に提案する]

【ターゲット】
[例: 部門長]

【トーン・雰囲気】
説得力があり、具体的で実行可能

【期待するアウトプット】
・企画概要
・目的と期待効果
・スケジュール案
・予算概算
・リスクと対策",文章生成,"資料作成,企画書,提案",ChatGPT|https://chat.openai.com/;Claude|https://claude.ai/;Gemini|https://gemini.google.com/
8,報告書作成,,"【AIへの役割】
あなたはビジネスレポートの専門家です。

【目的・背景】
[例: 四半期の営業成績を報告する]

【ターゲット】
[例: 経営陣]

【トーン・雰囲気】
客観的、簡潔、データに基づく

【期待するアウトプット】
・エグゼクティブサマリー
・主要KPIの分析
・課題と改善策
・次期の展望",文章生成,"資料作成,報告書,分析",ChatGPT|https://chat.openai.com/;Claude|https://claude.ai/;Gemini|https://gemini.google.com/
9,SEOブログ記事,,"【AIへの役割】
あなたはSEOとコンテンツマーケティングの専門家です。

【目的・背景】
[例: 「在宅ワーク 効率化」で検索上位を狙う]

【ターゲット】
[例: 在宅勤務を始めたばかりの会社員]

【トーン・雰囲気】
親しみやすく、実用的

【期待するアウトプット】
・SEO最適化されたタイトル（H1）
・メタディスクリプション
・見出し構成（H2, H3）
・本文（2000-3000文字）
・CTAの提案",文章生成,"ブログ,SEO,コンテンツ",ChatGPT|https://chat.openai.com/;Claude|https://claude.ai/;Gemini|https://gemini.google.com/
10,SNS投稿文作成,,"【AIへの役割】
あなたはソーシャルメディアマーケターです。

【目的・背景】
[例: 新製品の認知度を上げたい]

【ターゲット】
[例: 20-30代の女性]

【トーン・雰囲気】
カジュアルで親しみやすい、絵文字適度に使用

【期待するアウトプット】
・Instagram用（画像キャプション、ハッシュタグ）
・X(Twitter)用（140字以内）
・投稿最適時間の提案",文章生成,"SNS,マーケティング,投稿",ChatGPT|https://chat.openai.com/;Claude|https://claude.ai/;Gemini|https://gemini.google.com/
